,pack,level_id,question,solution_nl,solution_tool,solution_symbol,initial_symbol
0,Alpha,https://euclidea.fandom.com/wiki/Equilateral_Triangle,"Description: Construct an equilateral triangle with the given side. The construction must be exact. Guessing even very close points does not count as a solution.Let A and B be the two end points of the given segment.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and radius AB
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at points C and D
<Line Tool>Construct line AC
<Line Tool>Construct line BC","['Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['A', 'B'], ['AB'], ['C', 'D'], ['AC'], ['BC']]","['A', 'B']"
1,Alpha,https://euclidea.fandom.com/wiki/Angle_of_60%C2%B0,"Description: Construct an angle of 60° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and an arbitrary radius, intersecting the ray at point B.
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at points C and D.
<Line Tool>Construct line AC.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['A'], ['B'], ['C', 'AB', 'D'], ['AC']]",['A']
3,Alpha,https://euclidea.fandom.com/wiki/Perpendicular_Bisector,"Description: Construct the perpendicular bisector of the segment.Given the segment AB.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and radius AB.
<Circle Tool>Construct a circle with center B and radius AB, intersecting circle A at C and D.
<Line Tool>Construct line CD.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['AB'], ['A'], ['C', 'B', 'D'], ['CD']]",['AB']
5,Alpha,https://euclidea.fandom.com/wiki/Midpoint,"Description: Construct the midpoint of the segment defined by two points.Let A and B be the two points.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AB.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting AB at point C.","['Line Tool', 'Perpendicular Bisector Tool']","[['A', 'B'], ['AB'], ['C']]","['A', 'B']"
6,Alpha,https://euclidea.fandom.com/wiki/Circle_in_Square,"Description: Inscribe a circle in the square.Given the square ABCD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AC.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting AB at point E and AC at point F.
<Circle Tool>Construct a circle with center E and radius EF.","['Line Tool', 'Perpendicular Bisector Tool', 'Circle Tool']","[['ABCD'], ['AC'], ['F', 'AB', 'E'], ['EF']]",['ABCD']
8,Alpha,https://euclidea.fandom.com/wiki/Rhombus_in_Rectangle,"Description: Inscribe a rhombus in the rectangle so that they share a diagonal.Given the rectangle ABCD with AB>AD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Bisector Tool>Construct the perpendicular bisector of AC, intersecting AB at point E and CD at point F.
<Line Tool>Construct line AF.
<Line Tool>Construct line CE.","['Perpendicular Bisector Tool', 'Line Tool', 'Line Tool']","[['ABCD', 'AB', 'AD'], ['F', 'E', 'AC', 'CD'], ['AF'], ['CE']]","['ABCD', 'AB', 'AD']"
9,Alpha,https://euclidea.fandom.com/wiki/Circle_Center,"Description: Construct the center of the circle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct the perpendicular bisector P1 of two arbitrary points on the circle.
<Circle Tool>Construct the perpendicular bisector of two other arbitrary points on the circle, intersecting P1 at point A.
<Point Tool>Point at A.      ","['Circle Tool', 'Circle Tool', 'Point Tool']","[[], [], ['A'], []]",[]
10,Alpha,https://euclidea.fandom.com/wiki/Inscribed_Square,"Description: Inscribe a square in the circle. One vertex of the square is given.Let O be the center of the circle and A the vertex.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line OA, intersecting the circle at point B.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB, intersecting the circle at points C and D.
<Line Tool>Construct line AC.
<Line Tool>Construct line BC.
<Line Tool>Construct line BD.
<Line Tool>Construct line AD.","['Line Tool', 'Perpendicular Bisector Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['O', 'A'], ['B', 'OA'], ['C', 'AB', 'D'], ['AC'], ['BC'], ['BD'], ['AD']]","['O', 'A']"
11,Beta,https://euclidea.fandom.com/wiki/Angle_Bisector,"Description: Construct the line that bisects the given angle.Let A be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and an arbitrary radius, intersecting the sides of the angle at points B and C.
<Perpendicular Bisector Tool>Construct the perpendicular bisector of BC.","['Circle Tool', 'Perpendicular Bisector Tool']","[['A'], ['B', 'C'], ['BC']]",['A']
13,Beta,https://euclidea.fandom.com/wiki/Intersection_of_Angle_Bisectors,"Description: Construct the point where the angle bisectors of the triangle are intersected.Given the triangle ABC.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Angle Bisector Tool>Construct the angle bisector A1 of  angle BAC.
<Angle Bisector Tool>Construct the angle bisector A2 of  angle ACB, intersecting A1 at D.","['Angle Bisector Tool', 'Angle Bisector Tool']","[['ABC'], ['BAC'], ['ACB', 'D']]",['ABC']
14,Beta,https://euclidea.fandom.com/wiki/Angle_of_30%C2%B0,"Description: Construct an angle of 30° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with an arbitrary center B and radius AB, intersecting the ray at point C. Although the image shown here places B on the ray, this construction works even when point B is not on the ray, so long as B is on the same half of the plane as the ray.
<Circle Tool>Construct a circle with center C and radius BC, intersecting circle B at points D and E.
<Line Tool>Construct line AD.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['A'], ['AB', 'C', 'B'], ['BC', 'E', 'D'], ['AD']]",['A']
15,Beta,https://euclidea.fandom.com/wiki/Double_Angle,"Description: Construct an angle equal to the given one so that they share one side.Let O be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with an arbitrary center A on one ray and an arbitrary radius so that it intersects the other ray at least once. Let B be one of those intersections.
<Circle Tool>Construct a circle with another arbitrary center C on the first ray and radius BC, intersecting circle A at D.
<Line Tool>Construct line OD.","['Circle Tool', 'Circle Tool', 'Line Tool']","[['O'], ['B', 'A'], ['C', 'BC', 'D'], ['OD']]",['O']
16,Beta,https://euclidea.fandom.com/wiki/Cut_Rectangle,"Description: Construct a line through the given point that cuts the rectangle into two parts of equal area.Given the rectangle ABCD and the point O.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AC, a diagonal of the rectangle
<Line Tool>Construct line BD, the other diagonal, intersecting AC at E
<Line Tool>Construct line OE","['Line Tool', 'Line Tool', 'Line Tool']","[['ABCD', 'O'], ['AC'], ['BD', 'E'], ['OE']]","['ABCD', 'O']"
17,Beta,https://euclidea.fandom.com/wiki/Drop_a_Perpendicular,"Description: Drop a perpendicular from the point to the line.Let O be the point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct a circle with center O and an arbitrary radius so that it intersects the line at two points A and B
<Perpendicular Bisector Tool>Construct the perpendicular bisector of AB","['Line Tool', 'Perpendicular Bisector Tool']","[['O'], ['B', 'A'], ['AB']]",['O']
18,Beta,https://euclidea.fandom.com/wiki/Erect_a_Perpendicular,"Description: Erect a perpendicular from the point on the line.Let O be the point, and A and B two arbitrary points on the line so that O is between them.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ",<Angle Bisector Tool>Construct the angle bisector of  angle AOB,['Angle Bisector Tool'],"[['O', 'A', 'B', 'O'], ['AOB']]","['O', 'A', 'B', 'O']"
19,Beta,https://euclidea.fandom.com/wiki/Perpendicular_Tool,"Description: You have discovered the Perpendicular tool. Click on the line, then on the point.Let A be a line and B be a point, whether B is on or off line A (the level shows B off of A).
Tool List: ['Perpendicular Tool']
Solution: ","<Perpendicular Tool>With the perpendicular tool active, select the line, then the point.",['Perpendicular Tool'],"[['A', 'B', 'B', 'A', 'B', 'A'], []]","['A', 'B', 'B', 'A', 'B', 'A']"
20,Beta,https://euclidea.fandom.com/wiki/Tangent_to_Circle_at_Point,"Description: Construct a tangent to the circle at the given point.Let O be the center of the circle and A the point on it.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line OA
<Perpendicular Tool>Construct the perpendicular to the line OA from point A","['Line Tool', 'Perpendicular Tool']","[['O', 'A'], ['OA'], []]","['O', 'A']"
21,Beta,https://euclidea.fandom.com/wiki/Circle_Tangent_to_Line,"Description: Construct a circle with the given center that is tangent to the given line.Let O be the center.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to the line from point O, intersecting the line at A
<Circle Tool>Construct the circle with center O and radius OA","['Perpendicular Tool', 'Circle Tool']","[['O'], ['A'], ['OA']]",['O']
22,Beta,https://euclidea.fandom.com/wiki/Circle_in_Rhombus,"Description: Inscribe a circle in the rhombus.Given the rhombus ABCD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AC, a diagonal of the rhombus
<Line Tool>Construct line BD, the other diagonal of the rhombus, intersecting AC at O
<Perpendicular Tool>Construct the perpendicular to AB through O, intersecting AB at E
<Circle Tool>Construct the circle with center O radius OE","['Line Tool', 'Line Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABCD'], ['AC'], ['BD', 'O'], ['E', 'AB'], ['OE']]",['ABCD']
23,Gamma,https://euclidea.fandom.com/wiki/Chord_Midpoint,"Description: Construct a chord whose midpoint is given.Let A be the center and B the given midpoint.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AB
<Perpendicular Tool>Construct the perpendicular to AB through B","['Line Tool', 'Perpendicular Tool']","[['A', 'B'], ['AB'], []]","['A', 'B']"
24,Gamma,https://euclidea.fandom.com/wiki/Triangle_by_Angle_and_Orthocenter,"Description: Construct a segment connecting the sides of the angle to get a triangle whose orthocenter is in the point O.Let A be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to one side R1 of the angle through O, intersecting the second side at A
<Perpendicular Tool>Construct the perpendicular to the second side R2 of the angle through O, intersecting the first side at B
<Line Tool>Construct line AB","['Perpendicular Tool', 'Perpendicular Tool', 'Line Tool']","[['O', 'A'], [], ['B'], ['AB']]","['O', 'A']"
25,Gamma,https://euclidea.fandom.com/wiki/Intersection_of_Perpendicular_Bisectors,"Description: Construct a segment connecting the sides of the angle to get a triangle whose perpendicular bisectors are intersected in the point O.Let A be the vertex of the angle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct the circle with center O and radius OA, intersecting the sides of the angle at B and C
<Line Tool>Construct line BC","['Circle Tool', 'Line Tool']","[['O', 'A'], ['B', 'C', 'OA'], ['BC']]","['O', 'A']"
26,Gamma,https://euclidea.fandom.com/wiki/Three_equal_segments_-_1,"Description: Given an angle ABC and a point M inside it, find points D on BA and E on BC and construct segments DM and ME such that BD = DM = ME.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of BM, intersecting AB at D
<Circle Tool>Construct the circle with center M and radius DM, intersecting BC at E and F
<Line Tool>Construct line DM
<Line Tool>Construct line ME","['Perpendicular Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['ABC', 'M', 'D', 'BA', 'E', 'BC', 'DM', 'ME', 'BD', 'DM', 'ME'], ['AB', 'BM'], ['F'], [], []]","['ABC', 'M', 'D', 'BA', 'E', 'BC', 'DM', 'ME', 'BD', 'DM', 'ME']"
27,Gamma,https://euclidea.fandom.com/wiki/Circle_through_Point_Tangent_to_Line,"Description: Construct a circle through the point A that is tangent to the given line at the point B.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of AB
<Perpendicular Tool>Construct the perpendicular to the line from B, intersecting the perpendicular bisector at O
<Circle Tool>Construct the circle with center O and radius OA (or OB)","['Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['A', 'B'], ['AB'], ['O'], ['OB', 'OA']]","['A', 'B']"
28,Gamma,https://euclidea.fandom.com/wiki/Midpoints_of_Trapezoid_Bases,"Description: Construct a line passing through the midpoints of the trapezoid bases.Given the trapezoid ABCD.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of the base AB, intersecting AB at E
<Perpendicular Tool>Construct the perpendicular bisector of the base CD, intersecting CD at F
<Line Tool>Construct line EF","['Perpendicular Tool', 'Perpendicular Tool', 'Line Tool']","[['ABCD'], ['AB', 'E'], ['F', 'CD'], ['EF']]",['ABCD']
29,Gamma,https://euclidea.fandom.com/wiki/Angle_of_45%C2%B0,"Description: Construct an angle of 45° with the given side.Let A be the initial point of the given ray and B a distinct arbitrary point on that ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to the ray from A; let C be a distinct arbitrary point on that perpendicular
<Angle Bisector Tool>Construct the angle bisector of  angle BAC","['Perpendicular Tool', 'Angle Bisector Tool']","[['A', 'B'], ['C'], ['BAC']]","['A', 'B']"
30,Gamma,https://euclidea.fandom.com/wiki/Lozenge,"Description: Construct a rhombus with the given side and an angle of 45° in a vertex.Given the side AB (A on the left to match the orientation in explore mode)
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to AB from A; let C be a distinct arbitrary point on that perpendicular (above A, to match the orientation in explore mode)
<Angle Bisector Tool>Construct the angle bisector of  angle BAC
<Circle Tool>Construct the circle with center A and radius AB, intersecting the angle bisector at D and line AC at E with E on the side of A opposite from C
<Perpendicular Tool>Construct the perpendicular to AC through D
<Line Tool>Construct line BE","['Perpendicular Tool', 'Angle Bisector Tool', 'Circle Tool', 'Perpendicular Tool', 'Line Tool']","[['AB', 'A'], ['C'], ['BAC'], ['AC', 'E', 'D'], [], ['BE']]","['AB', 'A']"
31,Gamma,https://euclidea.fandom.com/wiki/Center_of_Quadrilateral,"Description: Construct the midpoint of the segment that connects the midpoints of the diagonals of the quadrilateral.Given the quadrilateral ABCD (arbitrary which vertex is A)
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at E
<Perpendicular Tool>Construct the perpendicular bisector of CD, intersecting CD at F
<Perpendicular Tool>Construct the perpendicular bisector of EF
<Line Tool>Construct line EF
<Perpendicular Tool>Point at the intersection of EF and its perpendicular bisector","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Line Tool', 'Perpendicular Tool']","[['ABCD', 'A'], ['AB', 'E'], ['F', 'CD'], ['EF'], [], []]","['ABCD', 'A']"
32,Delta,https://euclidea.fandom.com/wiki/Double_Segment,"Description: Construct a point C on the line AB such that |AC|=2|AB| using only a compass.
Tool List: ['Point Tool', 'Circle Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct the circle with center A and radius AB
<Circle Tool>Construct the circle with center B and radius AB, intersecting circle A at D and E
<Circle Tool>Construct the circle with center D and radius DE, intersecting circle B at C
<Point Tool>Point at C","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Point Tool']","[['C', 'AB', 'AC', 'AB'], ['A'], ['E', 'D', 'B'], ['DE'], []]","['C', 'AB', 'AC', 'AB']"
33,Delta,https://euclidea.fandom.com/wiki/Angle_of_60%C2%B0_-_2,"Description: Construct a straight line through the given point that makes an angle of 60° with the given line.Let A be the given point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct circle B with radius AB, intersecting the line at point C
<Circle Tool>Construct circle C with radius AC, intersecting circle B at point D
<Circle Tool>Construct circle D with radius CD, intersecting circle C at points E and F (E on the left to match the orientation in explore mode)
<Line Tool>Construct line AE","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Line Tool']","[['A'], ['AB', 'C', 'B'], ['D', 'AC'], ['F', 'E', 'CD'], ['AE']]",['A']
34,Delta,https://euclidea.fandom.com/wiki/Circumscribed_Equilateral_Triangle,"Description: Construct an equilateral triangle that is circumscribed about the circle and contains the given point.Let O be the center of the circle and A the point on it.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line OA, intersecting the circle at B
<Perpendicular Tool>Construct the perpendicular to OA from A
<Circle Tool>Construct the circle with center B and radius OB, intersecting the circle at C and D, and line OA at E
<Line Tool>Construct line CE
<Line Tool>Construct line DE","['Line Tool', 'Perpendicular Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['O', 'A'], ['B', 'OA'], [], ['C', 'OB', 'E', 'D'], ['CE'], ['DE']]","['O', 'A']"
35,Delta,https://euclidea.fandom.com/wiki/Equilateral_Triangle_in_Circle,"Description: Inscribe an equilateral triangle in the circle using the given point as a vertex. The center of the circle is not given.Let A be the vertex.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center A and an arbitrary radius, intersecting the original circle at B and C
<Circle Tool>Construct the circle with center B and radius AB, intersecting circle A at D and E
<Perpendicular Tool>Construct the perpendicular bisector of CD, intersecting the original circle at F
<Perpendicular Tool>Construct the perpendicular bisector of CE, intersecting the original circle at G
<Line Tool>Construct line FG (total 9E)","['Circle Tool', 'Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Line Tool']","[['A'], ['B', 'C'], ['AB', 'D', 'E'], ['F', 'CD'], ['G', 'CE'], ['FG']]",['A']
36,Delta,https://euclidea.fandom.com/wiki/Cut_Two_Rectangles,"Description: Construct a line that cuts each of the rectangles into two parts of equal area.Given the rectangles ABCD and EFGH.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AC, a diagonal of the first rectangle
<Line Tool>Construct line BD, the other diagonal, intersecting the previous diagonal at I
<Line Tool>Construct line EG, a diagonal of the second rectangle
<Line Tool>Construct line FH, the other diagonal, intersecting the previous diagonal at J
<Line Tool>Construct line IJ","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['ABCD', 'EFGH'], ['AC'], ['BD', 'I'], ['EG'], ['FH', 'J'], ['IJ']]","['ABCD', 'EFGH']"
37,Delta,https://euclidea.fandom.com/wiki/Square_Root_of_2,"Description: Let |AB|=1. Construct a point C on the ray AB such that the length of AC is equal to √2.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to AB from B
<Circle Tool>Construct the circle with center B and radius AB, intersecting the perpendicular at D
<Circle Tool>Construct the circle with center A and radius AD, intersecting the ray at C
<Point Tool>Point at C","['Perpendicular Tool', 'Circle Tool', 'Circle Tool', 'Point Tool']","[['AB', 'C', 'AB', 'AC'], ['B'], ['D'], ['AD', 'A'], []]","['AB', 'C', 'AB', 'AC']"
38,Delta,https://euclidea.fandom.com/wiki/Square_Root_of_3,"Description: Let |AB|=1. Construct a point C on the ray AB such that the length of AC is equal to √3.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct the circle with center B and radius AB, intersecting the ray at D
<Circle Tool>Construct the circle with center D and radius BD, intersecting circle B at E
<Circle Tool>Construct the circle with center A and radius AE, intersecting the ray at C
<Point Tool>Point at C","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Point Tool']","[['AB', 'C', 'AB', 'AC'], ['B', 'D'], ['BD', 'E'], ['AE', 'A'], []]","['AB', 'C', 'AB', 'AC']"
39,Delta,https://euclidea.fandom.com/wiki/Angle_of_15%C2%B0,"Description: Construct an angle of 15° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with an arbitrary center B and radius AB, intersecting the ray at C
<Circle Tool>Construct the circle with center C and radius BC, intersecting circle B at D and E (D above ray to match orientation of explore mode)
<Angle Bisector Tool>Construct the angle bisector of  angle DAC","['Circle Tool', 'Circle Tool', 'Angle Bisector Tool']","[['A'], ['AB', 'C', 'B'], ['BC', 'E', 'D'], ['DAC']]",['A']
40,Delta,https://euclidea.fandom.com/wiki/Square_by_Opposite_Midpoints,"Description: Construct a square, given two midpoints of opposite sides.Let A and B be the given midpoints.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct the circle with center A and radius AB
<Circle Tool>Construct the circle with center B and radius AB, intersecting circle A at C and D.
<Circle Tool>Construct the circle with center C and radius CB
<Line Tool>We draw the line (AC) that crosses the circle of center C in D.","['Circle Tool', 'Circle Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['AB'], ['C', 'D'], ['CB'], ['AC']]","['A', 'B']"
41,Delta,https://euclidea.fandom.com/wiki/Square_by_Adjacent_Midpoints,"Description: Construct a square, given two midpoints of adjacent sides.Let A and B be the given midpoints.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AB
<Perpendicular Tool>Construct the perpendicular to AB from A
<Perpendicular Tool>Construct the angle bisector of  angle BAC with C an arbitrary point on the perpendicular (to match the orientation of explore mode, choose C above A)
<Perpendicular Tool>Construct the perpendicular to that angle bisector through B, intersecting AC at D
<Circle Tool>Construct the circle with center B and radius BD, intersecting BD at E and AC at F
<Perpendicular Tool>Construct the perpendicular bisector of BE
<Perpendicular Tool>Construct the perpendicular to the angle bisector of  angle BAC through F","['Line Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['A', 'B'], ['AB'], [], ['BAC', 'C'], ['D', 'AC'], ['F', 'BD', 'E'], ['BE'], []]","['A', 'B']"
42,Epsilon,https://euclidea.fandom.com/wiki/Parallel_Line,"Description: Construct a line parallel to the given line and through the given point.Let A be the given point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to the line through A
<Perpendicular Tool>Construct the perpendicular to the previous perpendicular from A","['Perpendicular Tool', 'Perpendicular Tool']","[['A'], [], []]",['A']
43,Epsilon,https://euclidea.fandom.com/wiki/Parallel_Tool,"Description: You have discovered the Parallel tool. Click on the line, then on the point.
Tool List: ['Parallel Tool']
Solution: ","<Parallel Tool>With the parallel tool active, click on the line then on the point.",['Parallel Tool'],"[[], []]",[]
