,pack,level_id,question,solution_nl,solution_tool,solution_symbol,initial_symbol
44,Epsilon,https://euclidea.fandom.com/wiki/Parallelogram_by_Three_Vertices,"Description: Construct a parallelogram whose three of four vertices are given.Let A, B and C be the given vertices (to match the orientation of explore mode, place A on top and B on the left)
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AB
<Line Tool>Construct line BC
<Parallel Tool>Construct the parallel to AB through C
<Parallel Tool>Construct the parallel to BC through A","['Line Tool', 'Line Tool', 'Parallel Tool', 'Parallel Tool']","[['A', 'B', 'C', 'A', 'B'], ['AB'], ['BC'], [], []]","['A', 'B', 'C', 'A', 'B']"
45,Epsilon,https://euclidea.fandom.com/wiki/Line_Equidistant_from_Two_Points_-_1,"Description: Construct a line through the point C and at equal distance from the points A and B but that does not pass between them.Given points A, B, and C (C already labeled, choice of A and B is arbitrary):
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AB
<Parallel Tool>Construct the parallel to AB through C","['Line Tool', 'Parallel Tool']","[['C', 'A', 'B', 'A', 'B', 'C', 'C', 'A', 'B'], ['AB'], []]","['C', 'A', 'B', 'A', 'B', 'C', 'C', 'A', 'B']"
46,Epsilon,https://euclidea.fandom.com/wiki/Line_Equidistant_from_Two_Points_-_2,"Description: Construct a line through the point C that goes between the points A and B and that is at equal distance from them.Given points A, B, and C, with C labeled and the choice of A and B arbitrary:
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of AB
<Line Tool>Construct line AB, intersecting its perpendicular bisector at D
<Line Tool>Construct line CD","['Perpendicular Tool', 'Line Tool', 'Line Tool']","[['C', 'A', 'B', 'A', 'B', 'C', 'C', 'A', 'B'], ['AB'], ['D'], ['CD']]","['C', 'A', 'B', 'A', 'B', 'C', 'C', 'A', 'B']"
47,Epsilon,https://euclidea.fandom.com/wiki/Hash,"Description: Construct a line through the given point on which two pairs of parallel lines cut off equal line segments.Let O be the given point, and ABCD the parallelogram created by the two pairs of parallel lines (A on top to match the orientation of explore mode):
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AC, a diagonal of the parallelogram
<Parallel Tool>Construct the parallel to AC through O","['Line Tool', 'Parallel Tool']","[['O', 'ABCD', 'A'], ['AC'], []]","['O', 'ABCD', 'A']"
48,Epsilon,https://euclidea.fandom.com/wiki/Shift_Angle,"Description: Construct an angle from the given point that is equal to the given angle so that their sides are parallel.Let O be the given point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Angle Bisector Tool>Construct the parallel to one side of the angle through O
<Angle Bisector Tool>Construct the parallel to the other side of the angle through O","['Angle Bisector Tool', 'Angle Bisector Tool']","[['O'], [], []]",['O']
49,Epsilon,https://euclidea.fandom.com/wiki/Line_Equidistant_from_Two_Lines,"Description: Construct a straight line parallel to the given parallel lines that lies at equal distance from them.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to one line from an arbitrary point A on it, intersecting the other line at B
<Perpendicular Tool>Construct the perpendicular bisector of AB","['Perpendicular Tool', 'Perpendicular Tool']","[[], ['B', 'A'], ['AB']]",[]
50,Epsilon,https://euclidea.fandom.com/wiki/Circumscribed_Square,"Description: Circumscribe a square about the circle. Two of its sides should be parallel to the given line.Let O be the center of the given circle.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to the line through O, intersecting the circle at A and B
<Perpendicular Tool>Construct the perpendicular to AB from A
<Perpendicular Tool>Construct the perpendicular to AB from B
<Circle Tool>Construct the circle with center A and radius OA, intersecting the perpendicular to AB from A at C and D
<Perpendicular Tool>Construct the perpendicular to CD from C
<Perpendicular Tool>Construct the perpendicular to CD from D (total 16E)","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['O'], ['B', 'A'], ['AB'], [], ['C', 'D', 'OA'], ['CD'], []]",['O']
51,Epsilon,https://euclidea.fandom.com/wiki/Square_in_Square,"Description: Inscribe a square in the square. A vertex is given.Given the square ABCD and E the given vertex.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct the circle with center A and radius AE, intersecting AD at F
<Perpendicular Tool>Construct the perpendicular to AD through F, intersecting BC at G
<Line Tool>Construct line EG
<Perpendicular Tool>Construct the perpendicular to EG from E, intersecting AD at H
<Perpendicular Tool>Construct the perpendicular to EG from G, intersecting CD at I
<Line Tool>Construct the line HI (total 12E)","['Circle Tool', 'Perpendicular Tool', 'Line Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Line Tool']","[['A', 'ABCD', 'E'], ['F', 'AD', 'AE'], ['G', 'BC'], ['EG'], ['H'], ['I', 'CD'], ['HI']]","['A', 'ABCD', 'E']"
52,Epsilon,https://euclidea.fandom.com/wiki/Circle_Tangent_to_Square_Side,"Description: Construct a circle that is tangent to a side of the square and goes through the vertices of the opposite side.Given the square ABCD (AB on the bottom for the solution to match the hint mode orientation)
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting CD at E and AB at F
<Perpendicular Tool>Construct the perpendicular bisector of AE, intersecting EF at G
<Circle Tool>Construct the circle with center G and radius AG (or EG)","['Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABCD', 'AB'], ['F', 'E', 'CD'], ['EF', 'G', 'AE'], ['AG', 'EG']]","['ABCD', 'AB']"
53,Epsilon,https://euclidea.fandom.com/wiki/Regular_Hexagon,"Description: Construct a regular hexagon with the given side.Given the side AB.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct the circle with center A and radius AB
<Circle Tool>Construct the circle with center B and radius AB, intersecting circle A at C and D (C below AB to match the orientation of explore mode)
<Line Tool>Construct line AC, intersecting circle A at E
<Line Tool>Construct line BC, intersecting circle B at F
<Parallel Tool>Construct the parallel to AC through F
<Parallel Tool>Construct the parallel to BC through E, intersecting the the parallel to AC at G
<Perpendicular Tool>Construct the perpendicular bisector of DG (total 15E)","['Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool', 'Parallel Tool', 'Parallel Tool', 'Perpendicular Tool']","[['AB'], ['A'], ['C', 'B', 'D'], ['E', 'AC'], ['F', 'BC'], [], ['G'], ['DG']]",['AB']
54,Zeta,https://euclidea.fandom.com/wiki/Point_Reflection,"Description: Reflect the segment across the point.Given the segment AB and O the point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AO
<Circle Tool>Construct the circle with center O and radius AO, intersecting AO at C
<Parallel Tool>Construct the parallel to AB through C
<Line Tool>Construct line BO, intersecting the parallel to AB at D
<Point Tool>Point at D","['Line Tool', 'Circle Tool', 'Parallel Tool', 'Line Tool', 'Point Tool']","[['AB', 'O'], ['AO'], ['C'], [], ['BO', 'D'], []]","['AB', 'O']"
55,Zeta,https://euclidea.fandom.com/wiki/Reflection,"Description: Reflect the segment across the line.Given the segment AB.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct a circle with an arbitrary center C on the line and radius AC
<Line Tool>Construct a circle with another arbitrary center D on the line and radius AD, intersecting circle C at E
<Line Tool>Construct a circle with an arbitrary center F on the line and radius BF
<Line Tool>Construct a circle with another arbitrary center G on the line and radius BG, intersecting circle F at H
<Line Tool>Construct line EH","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['AB'], ['C', 'AC'], ['AD', 'E', 'D'], ['F', 'BF'], ['H', 'G', 'BG'], ['EH']]",['AB']
56,Zeta,https://euclidea.fandom.com/wiki/Copy_Segment,"Description: Construct a segment from the given point that is equal to the given segment and lies on the same line with it.Given the segment AB and the point C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AC
<Perpendicular Tool>Construct the perpendicular bisector of AC, intersecting AC at D
<Circle Tool>Construct the circle with center D and radius BD, intersecting AC at E
<Point Tool>Point at E","['Line Tool', 'Perpendicular Tool', 'Circle Tool', 'Point Tool']","[['AB', 'C'], ['AC'], ['D'], ['BD', 'E'], []]","['AB', 'C']"
57,Zeta,https://euclidea.fandom.com/wiki/Given_Angle_Bisector,"Description: Construct two straight lines through the two given points respectively so that the given line is a bisector of the angle that they make.Let A and B be the given points.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct a circle with an arbitrary center C on the line and radius AC
<Line Tool>Construct a circle with another arbitrary center D on the line and radius AD, intersecting circle C at E
<Line Tool>Construct line BE, intersecting the line at F
<Line Tool>Construct line AF","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['A', 'B'], ['C', 'AC'], ['AD', 'E', 'D'], ['BE', 'F'], ['AF']]","['A', 'B']"
58,Zeta,https://euclidea.fandom.com/wiki/Non-collapsing_Compass,"Description: Construct a circle with the given center and the radius equal to the length of the given segment.Given the segment AB and the point C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of A and C.
<Perpendicular Tool>Construct the circle with center arbitrary point D on the perpendicular bisector of A and C and with radius DB.
<Perpendicular Tool>Construct the circle with center arbitrary point E on the perpendicular bisector of A and C and with radius EB, intersecting circle D at F.
<Circle Tool>Construct the circle with center C and radius CF. (6E)","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['AB', 'C'], ['A'], ['DB', 'D'], ['F', 'EB', 'E'], ['CF']]","['AB', 'C']"
59,Zeta,https://euclidea.fandom.com/wiki/Compass_Tool,"Description: You have discovered the Non-collapsing Compass tool. Click on two points to set the radius length, then on the center of the circle.
Tool List: ['Compass Tool']
Solution: ","<Compass Tool>With the compass tool active, click on one endpoint of the segment, then another endpoint of the segment, then on the destination point.",['Compass Tool'],"[[], []]",[]
60,Zeta,https://euclidea.fandom.com/wiki/Translate_Segment,"Description: Construct a segment from the given point parallel and equal to the given segment.Given the segment AB and the point C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Use the non-collapsing compass to construct the circle with radius AB and center C
<Parallel Tool>Construct the parallel to AB through C, intersecting the circle at two points
<Line Tool>Use the intersect tool on the circle and parallel line to select both points at once","['Circle Tool', 'Parallel Tool', 'Line Tool']","[['AB', 'C'], [], [], []]","['AB', 'C']"
61,Zeta,https://euclidea.fandom.com/wiki/Triangle_by_Three_Sides,"Description: Construct a triangle with the side AB and the two other sides equal to the given segments.Given the other segments CD and EF.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Use the non-collapsing compass to construct the circle with radius CD and center A
<Circle Tool>Use the non-collapsing compass to construct the circle with radius EF and center B, intersecting circle A at G and H
<Line Tool>Construct line AG
<Line Tool>Construct line BG","['Circle Tool', 'Circle Tool', 'Line Tool', 'Line Tool']","[['AB', 'CD', 'EF'], ['A'], ['H', 'G', 'B'], ['AG'], ['BG']]","['AB', 'CD', 'EF']"
62,Zeta,https://euclidea.fandom.com/wiki/Parallelogram,"Description: Construct a parallelogram with the given side and the midpoint of the opposite side in the given point.Given the segment AB and the point C.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of AB, intersecting AB at D
<Circle Tool>Use the non-collapsing compass to construct the circle with radius AD and center C
<Parallel Tool>Construct the parallel to AB through C, intersecting circle C at E and F
<Line Tool>Construct line AE
<Line Tool>Construct line BF","['Perpendicular Tool', 'Circle Tool', 'Parallel Tool', 'Line Tool', 'Line Tool']","[['AB', 'C'], ['D'], ['AD'], ['F', 'E'], ['AE'], ['BF']]","['AB', 'C']"
63,Zeta,https://euclidea.fandom.com/wiki/Nine_Point_Circle,"Description: Construct a circle that passes through the midpoints of sides of the given acute triangle.Given the triangle ABC.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular to AB through C, intersecting AB at D
<Perpendicular Tool>Construct the perpendicular to BC through A, intersecting BC at E
<Perpendicular Tool>Construct the perpendicular bisector of DE, intersecting AC at F
<Perpendicular Tool>Construct the perpendicular bisector of DF, intersecting the perpendicular bisector of DE at G
<Circle Tool>Construct the circle with center G and radius DG","['Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABC'], ['C', 'AB', 'D'], ['BC', 'E', 'A'], ['F', 'DE', 'AC'], ['G', 'DF'], ['DG']]",['ABC']
64,Zeta,https://euclidea.fandom.com/wiki/Symmetry_of_Four_Lines,"Description: Three lines are intersected in a point. Construct a line so that the set of all 4 lines is mirror symmetric.Let O be the intersection of the three lines.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with center O and an arbitrary radius, intersecting the lines at six points; let A, B and C be a set of three consecutive points
<Circle Tool>Use the non-collapsing compass to construct the circle with radius AB and center C, intersecting circle O at D and E
<Line Tool>Construct line OD","['Circle Tool', 'Circle Tool', 'Line Tool']","[['O'], ['B', 'C', 'A'], ['E', 'D', 'AB'], ['OD']]",['O']
65,Zeta,https://euclidea.fandom.com/wiki/Parallelogram_by_Three_Midpoints,"Description: Construct a parallelogram given three of the midpoints.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Use the non-collapsing compass to construct the circle with radius AC and center B
<Circle Tool>Use the non-collapsing compass to construct the circle with radius BC and center A, intersecting circle B at D and E, with D on the opposite side of C from AB
<Line Tool>Construct line CD
<Parallel Tool>Construct the parallel to CD through A
<Parallel Tool>Construct the parallel to CD through B
<Line Tool>Construct line CE, intersecting circle A at F and circle B at G
<Parallel Tool>Construct the parallel to CE through D","['Circle Tool', 'Circle Tool', 'Line Tool', 'Parallel Tool', 'Parallel Tool', 'Line Tool', 'Parallel Tool']","[[], ['AC', 'B'], ['E', 'D', 'AB', 'C', 'BC', 'A'], ['CD'], [], [], ['F', 'G', 'CE'], []]",[]
66,Eta,https://euclidea.fandom.com/wiki/Sum_of_Areas_of_Squares,"Description: Construct a square whose area equals the sum of the areas of the two given squares and all three have the common angle.Let O be the common vertex of the squares, A the second vertex of one square on one line and B the second vertex of the other square on the other line.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Use the non-collapsing compass to construct the circle with radius AB and center O, intersecting one line at C and the other line at D
<Perpendicular Tool>Construct the perpendicular to OC from C
<Perpendicular Tool>Construct the perpendicular to OD from D","['Circle Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['O', 'A', 'B'], ['C', 'AB', 'D'], ['OC'], ['OD']]","['O', 'A', 'B']"
67,Eta,https://euclidea.fandom.com/wiki/Annulus,"Description: Construct a circle that is concentric with the given one and divides it into 2 parts of equal area.Let O be the center.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct an arbitrary line through O, intersecting the circle at A
<Perpendicular Tool>Construct the perpendicular bisector of OA, intersecting at B
<Circle Tool>Construct the circle with center B and radius OB, intersecting the bisector at C
<Circle Tool>Construct the circle with center O and radius OC","['Line Tool', 'Perpendicular Tool', 'Circle Tool', 'Circle Tool']","[['O'], ['A'], ['B', 'OA'], ['OB', 'C'], ['OC']]",['O']
68,Eta,https://euclidea.fandom.com/wiki/Angle_of_75%C2%B0,"Description: Construct an angle of 75° with the given side.Let A be the initial point of the given ray.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Circle Tool>Construct a circle with an arbitrary center B not on the ray and radius AB, so that it intersects the ray at C and AC<AB
<Circle Tool>Construct the circle with center C and radius BC, intersecting circle B at D
<Angle Bisector Tool>Construct the angle bisector of  angle CAD","['Circle Tool', 'Circle Tool', 'Angle Bisector Tool']","[['A'], ['AC', 'AB', 'C', 'B'], ['BC', 'D'], ['CAD']]",['A']
69,Eta,https://euclidea.fandom.com/wiki/Line_Equidistant_from_Three_Points,"Description: Construct a line that is at equal distance from the given three points.Let A, B and C be the given points.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct line AB
<Perpendicular Tool>Construct the perpendicular to AB through C, intersecting AB at D
<Perpendicular Tool>Construct the perpendicular bisector of CD","['Line Tool', 'Perpendicular Tool', 'Perpendicular Tool']","[['A', 'B', 'C'], ['AB'], ['D'], ['CD']]","['A', 'B', 'C']"
70,Eta,https://euclidea.fandom.com/wiki/Heron%27s_Problem,"Description: Construct a point C on the given line and segments AC and BC such that the sum of their length is minimal.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Line Tool>Construct a circle with an arbitrary center D on the line and radius AD
<Line Tool>Construct a circle with an arbitrary center E on the line and radius AE, intersecting circle D at F
<Line Tool>Construct line BF, intersecting the line at C
<Line Tool>Construct line AC","['Line Tool', 'Line Tool', 'Line Tool', 'Line Tool']","[['C', 'AC', 'BC'], ['AD', 'D'], ['F', 'AE', 'E'], ['BF'], []]","['C', 'AC', 'BC']"
71,Eta,https://euclidea.fandom.com/wiki/Circumscribed_Circle,"Description: Construct the circumcircle of the triangle.Given the triangle ABC
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Perpendicular Tool>Construct the perpendicular bisector of AB
<Perpendicular Tool>Construct the perpendicular bisector of BC, intersecting the perpendicular bisector of AB at D
<Circle Tool>Construct the circle with center D and radius AD","['Perpendicular Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABC'], ['AB'], ['BC', 'D'], ['AD']]",['ABC']
72,Eta,https://euclidea.fandom.com/wiki/Inscribed_Circle,"Description: Construct the incircle of the triangle.Given the triangle ABC
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Angle Bisector Tool>Construct the angle bisector of  angle CAB
<Angle Bisector Tool>Construct the angle bisector of  angle ABC, intersecting the angle bisector of  angle CAB at D
<Perpendicular Tool>Construct the perpendicular to AB through D, intersecting AB at E
<Circle Tool>Construct the circle with center D and radius DE","['Angle Bisector Tool', 'Angle Bisector Tool', 'Perpendicular Tool', 'Circle Tool']","[['ABC'], ['CAB'], ['D'], ['AB', 'E'], ['DE']]",['ABC']
73,Eta,https://euclidea.fandom.com/wiki/Circle_Tangent_to_Three_Lines,"Description: Construct a circle that is tangent to the three given lines. Two of the lines are parallel.Given the intersections of the lines A and B.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Angle Bisector Tool>Construct the angle bisector of  angle CAB, with C an arbitrary point on one of the parallel lines.
<Angle Bisector Tool>Construct the angle bisector of  angle ABD, with D an arbitrary point on the other parallel line and on the same side as C from the third given line, intersecting the angle bisector of  angle CAB at E
<Perpendicular Tool>Construct the perpendicular to AB through E, intersecting AB at F
<Circle Tool>Construct the circle with center E and radius EF","['Angle Bisector Tool', 'Angle Bisector Tool', 'Perpendicular Tool', 'Circle Tool']","[['A', 'B'], ['CAB', 'C'], ['E', 'D', 'ABD'], ['F', 'AB'], ['EF']]","['A', 'B']"
74,Eta,https://euclidea.fandom.com/wiki/Segment_by_Midpoint,"Description: Construct a segment with the ends on the sides of the angle such that the given point is its midpoint.Let A be the vertex of the angle and B the midpoint.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Parallel Tool>Construct parallel of one ray through B, intersecting the other ray at C
<Circle Tool>Construct the circle with center C and radius AC, intersecting AC at D
<Line Tool>Construct line BD","['Parallel Tool', 'Circle Tool', 'Line Tool']","[['A', 'B'], ['C'], ['D', 'AC'], ['BD']]","['A', 'B']"
75,Eta,https://euclidea.fandom.com/wiki/Angle_Isosceles,"Description: Construct a line through the given point such that it cuts off equal segments on the sides of the angle.Let A be the vertex of the angle and B the point.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Angle Bisector Tool>Construct the angle bisector A1 of the given angle
<Perpendicular Tool>Construct the perpendicular to A1 through B","['Angle Bisector Tool', 'Perpendicular Tool']","[['A', 'B'], [], []]","['A', 'B']"
76,Eta,https://euclidea.fandom.com/wiki/Excircle,"Description: Construct the excircle of the triangle formed by the three given lines.Let A, B and C be the intersections of the lines.
Tool List: ['Point Tool', 'Line Tool', 'Circle Tool', 'Perpendicular Bisector Tool', 'Perpendicular Tool', 'Angle Bisector Tool', 'Parallel Tool', 'Compass Tool', 'Intersect Tool']
Solution: ","<Angle Bisector Tool>Construct the angle bisector A1 of  angle DAB, with D an arbitrary point on the line that intersects AB at A
<Angle Bisector Tool>Construct the angle bisector A2 of  angle EBA, with E an arbitrary point on the line that intersects AB at B, intersecting A1 at F
<Perpendicular Tool>Construct the perpendicular to AB through F, intersecting AB at G
<Circle Tool>Construct the circle with center F and radius FG","['Angle Bisector Tool', 'Angle Bisector Tool', 'Perpendicular Tool', 'Circle Tool']","[['A', 'B', 'C'], ['DAB', 'AB', 'D'], ['F', 'EBA', 'E'], ['G'], ['FG']]","['A', 'B', 'C']"
